位置,x,y
肥西县,117.1645578,31.71296213
肥西县三联村,117.1645578,31.71296213
肥西县三元村,117.2571118,31.59322228
肥西县严店社区,117.2171718,31.63610273
肥西县柿树岗村,116.9554338,31.5926811
肥西县周楼村,116.9349624,31.57245891
肥西县龙社区,117.1645578,31.71296213
肥西县廖渡村,116.9080732,31.54619324
肥西县马堰村,116.8696148,31.58494217
肥西县杨桥村,117.1645578,31.71296213
肥西县新街社区,117.2531203,31.59705551
肥西县黄花村,116.9525048,31.636697
肥西县中洋村,116.9308945,31.6549473
肥西县宗洼村,116.8800559,31.55638477
肥西县双龙社区,116.9266841,31.68184328
肥西县楼塘村,116.7693532,31.72727054
肥西县新光社区,116.8891179,31.76860222
肥西县井王社区,116.7872567,31.71215617
肥西县启明社区,116.797592,31.72741198
肥西县三河村,116.8500642,31.74137665
肥西县白龙社区,116.9012885,31.68836339
肥西县聚星社区,116.8873589,31.72410595
肥西县长镇村,117.1645578,31.71296213
肥西县高店社区,116.8404334,31.90477436
肥西县五四社区,116.866751,31.87639852
肥西县杨湾村,117.1645578,31.71296213
肥西县四合社区,117.0210236,31.57444561
肥西县花岗工业园,117.0971136,31.65715745
肥西县大黄村,117.0466049,31.57115501
肥西县七十埠社区,117.0507309,31.61882969
肥西县芮店社区,117.0243326,31.65785447
肥西县陶店社区,117.0348691,31.59731631
肥西县龙安社区,117.3065249,31.55990251
肥西县九联村,117.240008,31.57966293
肥西县西湖村,117.3347839,31.58343203
肥西县临丰村,117.29599,31.54788247
肥西县光明村,116.7777827,31.67853792
肥西县沈店社区,116.865652,31.66629493
肥西县金牛社区,116.801516,31.66387032
肥西县兴庄村,116.8537078,31.63205608
肥西县光明社区,116.7777827,31.67853792
肥西县馆东村,116.8897418,31.63108299
肥西县炉墩村,116.8059783,31.59029408
肥西县小井庄社区,116.869041,31.63709897
肥西县荷冲村,116.8804253,31.67678402
肥西县吕楼社区,116.915675,31.65277452
肥西县金圩村,116.7846482,31.62211697
肥西县陡岗社区,116.8338916,31.58084436
肥西县丰乐社区,117.1866551,31.56401594
肥西县三里村,117.2001324,31.57338924
肥西县双枣社区,117.2028258,31.61131067
肥西县赵桥村,117.0637559,31.58297876
肥西县张老圩村,116.9105442,31.72681176
肥西县周公山社区,116.9217413,31.73918727
肥西县李陵村,117.0135367,31.70379004
肥西县新农村,116.967039,31.75448126
肥西县罗坝村,117.0641403,31.7317012
肥西县农兴社区,117.0295229,31.76981653
肥西县彭圩村,117.1718513,31.6777275
肥西县五十埠社区,117.1281445,31.69361881
肥西县江夏店社区,116.806247,31.83987501
肥西县回民社区,116.898847,31.81016696
肥西县张祠村,116.948499,31.79517797
肥西县焦婆社区,116.9283796,31.77980198
肥西县黄店村,116.7858306,31.85330137
